Jul 05 02:20:06 2019	0,1423,"taz_haught","Ohio, USA","RT @Delta: Let free entertainment ring. Vote for your favorite patriotic film and the winner will be featured on Delta Studio this Septembe…","1146966956324642816","Let free entertainment ring. Vote for your favorite patriotic film and the winner will be featured on Delta Studio this September."
Jul 05 02:20:06 2019	0,1423,"taz_haught","Ohio, USA","RT @Delta: Let free entertainment ring. Vote for your favorite patriotic film and the winner will be featured on Delta Studio this Septembe…","1146966956324642816","Let free entertainment ring. Vote for your favorite patriotic film and the winner will be featured on Delta Studio this September."
Jul 05 03:48:33 2019	0,529,"SODaimond","Lohr am Main, Deutschland","RT @flyethiopian: Ethiopian Airlines will add new flight routes to #Garowe and #Bosaso ,effective July 15th. #Ethiopian #Somalia https://t.…","1146989215487614976","Ethiopian Airlines will add new flight routes to #Garowe and #Bosaso ,effective July 15th. #Ethiopian #Somalia https://t.co/MrmXkIpVl6"
Jul 05 03:48:33 2019	0,529,"SODaimond","Lohr am Main, Deutschland","RT @flyethiopian: Ethiopian Airlines will add new flight routes to #Garowe and #Bosaso ,effective July 15th. #Ethiopian #Somalia https://t.…","1146989215487614976","Ethiopian Airlines will add new flight routes to #Garowe and #Bosaso ,effective July 15th. #Ethiopian #Somalia https://t.co/MrmXkIpVl6"
Jul 05 04:23:56 2019	0,63,"sergiohernandez","None","@TomFitton @realDonaldTrump Loved the part when our army took over @British_Airways back in 1776. Very touching indeed.","1146998119990583296","None"
Jul 05 04:23:56 2019	0,63,"sergiohernandez","None","@TomFitton @realDonaldTrump Loved the part when our army took over @British_Airways back in 1776. Very touching indeed.","1146998119990583296","None"
Jul 05 04:43:57 2019	0,277,"McCharles_Ltd","Nairobi, Kenya","@KenyaAirways @dailynation That is not exactly true. I have photos of your planes that ply west African routes and they are beyond scary","1147003157375049728","None"
Jul 05 04:43:57 2019	0,277,"McCharles_Ltd","Nairobi, Kenya","@KenyaAirways @dailynation That is not exactly true. I have photos of your planes that ply west African routes and they are beyond scary","1147003157375049728","None"
Jul 05 08:33:43 2019	0,141046,"TamekaRaymond","Recaliberating...","@AirFranceFR  I have been waiting for 2 hours for my bag. @Delta this is a horrible partnership. ZERO customer service!!","1147060980033175553","None"
Jul 05 08:33:43 2019	0,141046,"TamekaRaymond","Recaliberating...","@AirFranceFR  I have been waiting for 2 hours for my bag. @Delta this is a horrible partnership. ZERO customer service!!","1147060980033175553","None"
Jul 05 09:29:26 2019	0,3,"percypresley","None","@Ryanair Hello, I am a British citizen travelling from Bristol to Dublin with children aged 5 and 7.Do I need a passport for my children?","1147075001620795392","None"
Jul 05 09:29:26 2019	0,3,"percypresley","None","@Ryanair Hello, I am a British citizen travelling from Bristol to Dublin with children aged 5 and 7.Do I need a passport for my children?","1147075001620795392","None"
Jul 05 09:37:00 2019	0,418,"NadimHachem","Boston, MA","Mystery of the day: how @skift and @business came to the conclusion that 737 Max grounding led to @emirates using A380 on shorter trips, when @emirates does not own 737 Max in the first place!!","1147076905826279426","None"
Jul 05 09:37:00 2019	0,418,"NadimHachem","Boston, MA","Mystery of the day: how @skift and @business came to the conclusion that 737 Max grounding led to @emirates using A380 on shorter trips, when @emirates does not own 737 Max in the first place!!","1147076905826279426","None"
Jul 05 11:22:15 2019	0,40,"jorgeedu5050","Atlanta, GA","In the next days I’ll post here a full story about my several flights in the past few weeks with @AmericanAir I want the world nows what I being through, even in first class. I want people know my story to learn the kind of business @AmericanAir is doing now.","1147103392843485184","None"
Jul 05 11:22:15 2019	0,40,"jorgeedu5050","Atlanta, GA","In the next days I’ll post here a full story about my several flights in the past few weeks with @AmericanAir I want the world nows what I being through, even in first class. I want people know my story to learn the kind of business @AmericanAir is doing now.","1147103392843485184","None"
Jul 05 11:38:03 2019	0,120,"rkms618","None","@Delta How about “Sully”","1147107369043857408","None"
Jul 05 11:38:03 2019	0,120,"rkms618","None","@Delta How about “Sully”","1147107369043857408","None"
Jul 05 14:31:51 2019	0,348,"feellikedancin","084 114 101 110 099 104","@banditotreehous @AmericanAir @sauces4dipping I mean I didn't have it worst, couple of people under 21 from my flight were not accommodated at hotels due to liability issues and had to spend the night on the concrete at the airport 😐","1147151107262693376","None"
Jul 05 14:31:51 2019	0,348,"feellikedancin","084 114 101 110 099 104","@banditotreehous @AmericanAir @sauces4dipping I mean I didn't have it worst, couple of people under 21 from my flight were not accommodated at hotels due to liability issues and had to spend the night on the concrete at the airport 😐","1147151107262693376","None"
Jul 05 16:05:47 2019	0,188,"maybeitswakanda","Austin, TX","RT @King_Nico711: @SpiritAirlines everybody already hates flying with y’all! Thanks for ensuring none of us fly with you ever again ✌🏽 http…","1147174746351685632","@SpiritAirlines everybody already hates flying with y’all! Thanks for ensuring none of us fly with you ever again ✌🏽 https://t.co/K1cd3xcVAE"
Jul 05 16:05:47 2019	0,188,"maybeitswakanda","Austin, TX","RT @King_Nico711: @SpiritAirlines everybody already hates flying with y’all! Thanks for ensuring none of us fly with you ever again ✌🏽 http…","1147174746351685632","@SpiritAirlines everybody already hates flying with y’all! Thanks for ensuring none of us fly with you ever again ✌🏽 https://t.co/K1cd3xcVAE"
Jul 05 16:14:15 2019	0,859,"Urban_Kamo","West Philly ","RT @CollegeSistas: It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat f…","1147176877049700352","It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat for this heifer?! 💆🏾‍♀️ https://t.co/QnCXE6rEWv"
Jul 05 16:14:15 2019	0,859,"Urban_Kamo","West Philly ","RT @CollegeSistas: It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat f…","1147176877049700352","It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat for this heifer?! 💆🏾‍♀️ https://t.co/QnCXE6rEWv"
Jul 05 17:42:54 2019	0,210,"wthmaia","None","RT @CollegeSistas: It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat f…","1147199186573647874","It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat for this heifer?! 💆🏾‍♀️ https://t.co/QnCXE6rEWv"
Jul 05 17:42:54 2019	0,210,"wthmaia","None","RT @CollegeSistas: It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat f…","1147199186573647874","It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat for this heifer?! 💆🏾‍♀️ https://t.co/QnCXE6rEWv"
Jul 05 17:57:46 2019	0,11,"BelenSZ1985","London, England","@easyJet You’re such a terrible company; a very high number of your flights are delayed or cancelled. Can’t understand how you’ve survived as a company","1147202927884414976","It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat for this heifer?! 💆🏾‍♀️ https://t.co/QnCXE6rEWv"
Jul 05 17:57:46 2019	0,11,"BelenSZ1985","London, England","@easyJet You’re such a terrible company; a very high number of your flights are delayed or cancelled. Can’t understand how you’ve survived as a company","1147202927884414976","It’s 2019 and you’re telling me @SpiritAirlines seriously thought it was a good idea to ask Sis to leave her PAID seat for this heifer?! 💆🏾‍♀️ https://t.co/QnCXE6rEWv"
Jul 05 18:56:25 2019	0,77,"SilentMellisa","None","@Delta Such a horrible experience, we should have never left the gate.","1147217687648579584","None"
Jul 05 18:56:25 2019	0,77,"SilentMellisa","None","@Delta Such a horrible experience, we should have never left the gate.","1147217687648579584","None"
Jul 05 19:01:46 2019	0,2,"DDickens83","None","Hey @united My sister tries to change her flight dates because Grandma isn't going to make it and you tell her because she bought basic economy she's SOL but you hope she has a better day? Do you get off on being assholes or are you really that soulless?","1147219034003238912","None"
Jul 05 19:01:46 2019	0,2,"DDickens83","None","Hey @united My sister tries to change her flight dates because Grandma isn't going to make it and you tell her because she bought basic economy she's SOL but you hope she has a better day? Do you get off on being assholes or are you really that soulless?","1147219034003238912","None"
Jul 05 19:23:22 2019	0,2,"DDickens83","None","@united She did, and the response she got was exactly what I posted. So what good would calling again do? None. Shes submitted an online complaint that will take 18-21 business days to review? F that. Media hears about this next","1147224469804482560","None"
Jul 05 19:23:22 2019	0,2,"DDickens83","None","@united She did, and the response she got was exactly what I posted. So what good would calling again do? None. Shes submitted an online complaint that will take 18-21 business days to review? F that. Media hears about this next","1147224469804482560","None"
Jul 05 19:49:44 2019	0,62,"rpcleland","None","@Twitter .@AmericanAir until they respond to me about playing a Marvel movie on an eastbound RED EYE!!! With no eye masks!!!","1147231105201762304","None"
Jul 05 19:49:44 2019	0,62,"rpcleland","None","@Twitter .@AmericanAir until they respond to me about playing a Marvel movie on an eastbound RED EYE!!! With no eye masks!!!","1147231105201762304","None"
Jul 05 20:47:03 2019	0,42,"RonJohnson614","Boulder, CO","@AmericanAir @SU2C I stand up for my dog.","1147245529409171462","None"
Jul 05 20:47:03 2019	0,42,"RonJohnson614","Boulder, CO","@AmericanAir @SU2C I stand up for my dog.","1147245529409171462","None"
Jul 05 20:50:50 2019	0,5944,"ChrisWehkamp","Denton, TX","@joshua_becker @AmericanAir Similar experiences with them over the last couple months. Enough that I’m considering switching to a different carrier going forward.","1147246481541337088","None"
